method,n_days,mean_err,rmse,mae,std_resid,corr,max_abs_err,actual_std
vix_decomposition.py (OLS projection),248,-0.49047523843671675,0.5500764469395953,0.49571553818511227,0.24953802022319815,0.996778004006135,1.471812386241016,3.110952078058499
vix_pipeline_variance.py,249,-0.1333324224245932,0.2493184645868173,0.1921811531790917,0.2110950549980212,0.9977378277266142,0.7898190533434466,3.1220133457325536
vix_pipeline_CBOE_bucket_nd2.py,249,-0.1333324224245932,0.2493184645868173,0.1921811531790917,0.2110950549980212,0.9977378277266142,0.7898190533434466,3.1220133457325536
