date,SPX,VIX_computed,VIX_actual,delta_VIX,delta_vix_source,F1,F2,F3,F4,F5,F6,sum_factors,residual
2023-01-04,3853.39,22.088689537787356,22.010000228881836,,,,,,,,,,
2023-01-05,3808.19,22.399087612925506,22.459999084472656,0.4499988555908203,actual,0.5282645612545629,-0.2315415205153215,2.0839872881595056e-05,-0.000444142562702865,0.0,0.0007925799381709453,0.29709231798759106,-0.15290653760322925
2023-01-06,3894.2,20.79782502166606,21.1299991607666,-1.3299999237060547,actual,-1.1165794215632623,-0.715630062982008,-0.0020881992010153283,0.0023366941112108464,8.381503961274461e-05,8.969542142978071e-05,-1.8317874791740323,-0.5017875554679776
2023-01-09,3892.52,21.660383990867686,21.969999313354492,0.8400001525878906,actual,0.2491681430567212,0.5717191922192768,0.0013121733095893262,-0.000628499063807908,0.007681201430859375,0.0031165701114801436,0.8323687810641189,-0.007631371523771691
2023-01-10,3919.78,20.57682418695714,20.579999923706055,-1.3899993896484375,actual,-0.3501957679046299,-0.6334610826964067,-0.0004390944956931264,-0.00968929552245612,0.0005582639298538083,-0.017272891005866597,-1.0104998676951986,0.3794995219532389
2023-01-11,3969.31,21.135321500914973,21.09000015258789,0.5100002288818359,actual,-0.6090866552792953,0.990055243766097,-0.00029091864912089704,0.0,0.0,0.0,0.3806776698376808,-0.12932255904415513
2023-01-12,3982.87,18.633958522238462,18.829999923706055,-2.260000228881836,actual,-0.24097455900374598,-2.353220493490852,-0.00042597466545757356,0.0008626405328833187,0.0022678074748903043,0.0,-2.591490579152282,-0.33149035027044604
2023-01-13,3998.71,17.696987066758165,18.350000381469727,-0.4799995422363281,actual,-0.17603391132334067,-1.0189776782326874,0.001518864727540148,-0.0012705105962851349,0.0,0.0,-1.194763235424773,-0.7147636931884449
2023-01-17,3990.4,19.493348693993877,19.360000610351562,1.010000228881836,actual,0.08768274282400768,1.5769788797659068,-3.693380222813403e-05,-0.004834962511889529,-1.5295766630174512e-05,-0.018041116106640942,1.6417333144025257,0.6317330855206897
2023-01-18,3928.85,20.237949418902648,20.34000015258789,0.9799995422363281,actual,1.0798679423738378,-0.31048126886173577,0.0035333716917911318,0.0024375136219383364,-0.004830343602996834,0.0,0.7705272152228346,-0.2094723270134935
2023-01-19,3899.16,20.462138674826768,20.520000457763672,0.18000030517578125,actual,0.6010016462379859,-0.37663075886010944,0.002800787812148542,0.00024966823684735573,0.00078456523148418,0.0005866340589619767,0.22879254271731853,0.048792237541537276
2023-01-20,3971.98,19.68955334097582,19.850000381469727,-0.6700000762939453,actual,-1.11801023035299,0.2874834511343316,-0.0017611804483728122,4.182191582202677e-05,0.000998812534650284,0.0,-0.8312473252165589,-0.16124724892261355
2023-01-23,4019.36,19.531152128498324,19.809999465942383,-0.04000091552734375,actual,-0.8126275446267144,0.31654394923960893,0.00011681652559047961,0.0006212900773689967,0.003943230508767215,-0.0014714631258705424,-0.4928737214012493,-0.45287280587390555
2023-01-24,4016.84,19.26842861072652,19.200000762939453,-0.6099987030029297,actual,0.0,-0.20212291465886878,0.00043491992420285897,-0.01241482414306816,0.0015571191815588747,0.00032017401140649326,-0.2122255256847687,0.397773177318161
2023-01-25,4016.22,19.09969819322221,19.079999923706055,-0.12000083923339844,actual,-0.011102868636420737,-0.10616920790828033,-0.000589373839780194,0.0,0.0,0.0,-0.11786145038448126,0.0021393888489171786
2023-01-26,4060.18,18.591030385098957,18.729999542236328,-0.35000038146972656,actual,-0.5191933149312327,0.2503852036387073,-0.000655538762760699,-0.0038866769671415113,0.0,0.0,-0.27335032702242756,0.076650054447299
2023-01-27,4070.02,18.08712128214662,18.510000228881836,-0.2199993133544922,actual,-0.19444641606753876,-0.2886124485979771,-0.0002522494929664276,-0.0006735591909148297,0.0,0.0,-0.4839846733493971,-0.2639853599949049
2023-01-30,4018.18,19.731899264497525,19.940000534057617,1.4300003051757812,actual,0.6560448971727944,0.9743475730538442,-0.0008989223603919072,-0.000508251064168519,-0.004421025017492752,-0.003263602412467037,1.6213006693721184,0.1913003641963371
2023-01-31,4077.16,19.201844574096892,19.399999618530273,-0.5400009155273438,actual,-0.9003665508709418,0.11565155747298306,0.002210368390144879,-0.006598409917348391,0.02951473182448794,-0.018309729820575882,-0.7778980329212501,-0.2378971173939064
2023-02-01,4119.88,18.15020889740011,17.8700008392334,-1.529998779296875,actual,-0.71219100396927,-0.43279467845626485,0.000628168687413222,0.0,0.004411965727438627,0.0,-1.139945548010683,0.39005323128619196
2023-02-02,4180.26,18.101386654561512,18.729999542236328,0.8599987030029297,actual,-0.8466495944084809,0.44295131666697074,0.0007512682350316879,0.0,0.003471172388110233,-0.0037538597151751674,-0.40322969683354337,-1.263228399836473
2023-02-03,4136.27,17.976949677155286,18.329999923706055,-0.39999961853027344,actual,0.565733595808533,-0.4161626862967456,-0.001602101409062584,0.002218581985680146,-0.0038868041753126192,0.012663614166182668,0.15896420007927503,0.5589638186095485
2023-02-06,4111.02,18.94856754385451,19.43000030517578,1.1000003814697266,actual,0.3542666872087761,0.7258787946815097,-0.002019619778433679,-0.0027203123927321826,-0.004044995837794829,-0.003591682866851187,1.067768871014474,-0.03223151045525263
2023-02-07,4163.74,18.1483886858209,18.65999984741211,-0.7700004577636719,actual,-1.0411258617187134,0.18360690693237025,-0.0020651432847991202,-0.0075948126837133145,0.004809684400026271,-0.023715396674912625,-0.8860846230297419,-0.11608416526607002
2023-02-08,4118.33,19.645351943765448,19.6299991607666,0.9699993133544922,actual,0.6489862097679406,0.8417577543062897,-0.0003850414993316065,-0.002024597622572344,0.0,-0.04942001591865619,1.4389143090336702,0.46891499567917805
2023-02-09,4081.89,20.51956444209116,20.709999084472656,1.0799999237060547,actual,0.7541625305780251,0.4077145664379067,-0.00013137581892763706,0.00043026415636759907,0.0,0.0,1.1621759853533717,0.08217606164731706
