date,SPX,VIX_computed,VIX_actual,delta_VIX,delta_vix_source,F1,F2,F3,F4,F5,F6,sum_factors,residual
2023-01-04,3853.39,22.088689537787356,22.010000228881836,,,,,,,,,,
2023-01-05,3808.19,22.399087612925506,22.459999084472656,0.4499988555908203,actual,0.5282645612545629,-0.2315415205153215,0.0015292767169086119,-0.0027579131288639758,0.026375982887056892,0.032433222356541336,0.35430360957088425,-0.09569524601993606
2023-01-06,3894.2,20.79782502166606,21.1299991607666,-1.3299999237060547,actual,-1.1165794215632623,-0.715630062982008,-0.08712347650167018,0.04246541308405227,0.029590647800841197,-0.016003123231115524,-1.8632800233931626,-0.5332800996871079
2023-01-09,3892.52,21.660383990867686,21.969999313354492,0.8400001525878906,actual,0.2491681430567212,0.5717191922192768,0.025181181849969647,-0.0039636985962410165,0.07189493113557077,0.0055503818788800174,0.9195501315441774,0.0795499789562868
2023-01-10,3919.78,20.57682418695714,20.579999923706055,-1.3899993896484375,actual,-0.3501957679046299,-0.6334610826964067,-0.009174182819659649,-0.029486246657263848,0.00389846525334292,-0.028748149288503555,-1.0471669641131207,0.3428324255353168
2023-01-11,3969.31,21.135321500914973,21.09000015258789,0.5100002288818359,actual,-0.6090866552792953,0.990055243766097,-0.008144943330837151,-0.0783993877359066,0.061048406793226206,-0.0506577630637004,0.30481490114958376,-0.20518532773225218
2023-01-12,3982.87,18.633958522238462,18.829999923706055,-2.260000228881836,actual,-0.24097455900374598,-2.353220493490852,-0.016283825784420003,0.016515161506696074,0.07521742596440717,0.07046732537641986,-2.448278965431495,-0.188278736549659
2023-01-13,3998.71,17.696987066758165,18.350000381469727,-0.4799995422363281,actual,-0.17603391132334067,-1.0189776782326874,0.0559492473902381,-0.010087879074031747,0.18830176012942346,-0.016586583615815442,-0.9774350447262137,-0.49743550248988555
2023-01-17,3990.4,19.493348693993877,19.360000610351562,1.010000228881836,actual,0.08768274282400768,1.5769788797659068,-0.0007220289240983391,-0.022417516563717044,0.017017371897321,-0.03303232948419321,1.6255071195152269,0.6155068906333909
2023-01-18,3928.85,20.237949418902648,20.34000015258789,0.9799995422363281,actual,1.0798679423738378,-0.31048126886173577,0.07815790127217781,0.04725209575489586,-0.054696174209919235,-0.013102436666429185,0.8269980596628272,-0.15300148257350088
2023-01-19,3899.16,20.462138674826768,20.520000457763672,0.18000030517578125,actual,0.6010016462379859,-0.37663075886010944,0.11676639331252048,0.007377767808431912,0.024228284509788978,0.01747371656462704,0.3902170495732449,0.21021674439746363
2023-01-20,3971.98,19.68955334097582,19.850000381469727,-0.6700000762939453,actual,-1.11801023035299,0.2874834511343316,-0.07153995829128945,0.0018474661661542768,0.06299151890402399,-0.027418977241062237,-0.8646467296808318,-0.19464665338688647
2023-01-23,4019.36,19.531152128498324,19.809999465942383,-0.04000091552734375,actual,-0.8126275446267144,0.31654394923960893,0.003933196896785063,0.002837245702451696,0.05733848878587011,-0.0014368056618394576,-0.43341146966383803,-0.3934105541364943
2023-01-24,4016.84,19.26842861072652,19.200000762939453,-0.6099987030029297,actual,0.0,-0.20212291465886878,0.007921471705653715,-0.05860902359221143,0.0065568725304743225,0.004348946508912377,-0.2419046475060398,0.3680940554968899
2023-01-25,4016.22,19.09969819322221,19.079999923706055,-0.12000083923339844,actual,-0.011102868636420737,-0.10616920790828033,-0.013999222434705416,-0.004256461354252394,-0.0681413587553692,-0.04855908639587625,-0.2522282054849043,-0.13222736625150588
