date,delta_vix,sticky_strike_contribution,parallel_contribution,put_skew_contribution,call_skew_contribution,put_convexity_contribution,call_convexity_contribution,skew_contribution,convexity_contribution,higher_order_contribution,model_total,residual,explained_pct,proj_alpha,proj_beta_put,proj_gamma_put,proj_beta_call,proj_gamma_call,a_t,b_t,c_t,a_t1,b_t1,c_t1,delta_a,delta_b,delta_c,alpha_t,beta_t,gamma_t,alpha_t1,beta_t1,gamma_t1,alpha_t1_rf,beta_t1_rf,delta_alpha,delta_beta,delta_gamma,delta_beta_put,delta_gamma_put,delta_beta_call,delta_gamma_call,r2_t,r2_t1,n_k_t,k0_t1,F_t1,T_t1,dte_t1,vix_bs_t,delta_vix_synth,vix0,vix_ss,vix1,vix2,vix3,vix4,vix5
2023-01-05,0.3029363707979478,0.29529154343162034,0.20074114919395214,-0.21953963298522794,-0.0760489231881607,0.03791015428546629,0.06486078220043723,-0.29558855617338864,0.10277093648590352,-0.00027870214013958616,0.30321507293808736,-0.00027870214013958616,99.90799977585871,0.005727580055285737,0.04548972264522892,0.08444407821490173,-0.04885308878306973,0.5517962007366793,0.21317119821326672,-0.013970347377660576,0.02186854733373849,0.2064064645607383,-0.012030571398590506,0.029431204059738758,0.006764733652528415,-0.0010952626947826668,-0.011413199715460863,0.0036104570758430567,-0.013970347377660576,0.02186854733373849,0.0033849458349628388,-0.012030571398590506,0.029431204059738758,0.00351158059639216,-0.012875084682877909,9.887647945089686e-05,-0.0010952626947826668,-0.011413199715460863,-0.004746709794810563,-0.04755991061203439,0.00027776675464939726,0.004718955308585265,0.9600821176704731,0.9451636291146217,126,3850.0,3859.75,0.07945205479452055,29.0,22.090442541209548,0.2959871505798972,21.7875061704116,22.08279771384322,22.283538863037172,22.063999230051945,21.987950306863784,22.02586046114925,22.090721243349687
2023-01-06,-1.6439575942145268,-1.2988263987632855,-1.0144556858115337,0.5717929361051333,0.3477573754543144,-0.06778431630234394,-0.21381194179893726,0.9195503115594477,-0.2815962581012812,0.03137043690212593,-1.6753280311166527,0.03137043690212593,98.0917733515435,-0.007954916710812922,-0.09896490269474534,-0.052711244109153635,-0.03942361226192635,0.3756489670787492,0.19705786934442263,-0.011422348389422873,0.03853211594332844,0.21317119821326672,-0.013970347377660576,0.02186854733373849,-0.01611332886884409,0.0015857003634578253,0.017042694006057,0.0029788781051391213,-0.011422348389422873,0.03853211594332844,0.0036104570758430567,-0.013970347377660576,0.02186854733373849,0.0033123653255684024,-0.013008048752880698,-0.0003334872204292811,0.0015857003634578253,0.017042694006057,0.007840408986649597,0.07484011395565304,0.008441819083841388,-0.09494607689419432,0.9898252684083626,0.9600821176704731,129,3815.0,3817.55,0.07945205479452055,29.0,20.44648494699502,-1.6070140754662248,22.090442541209548,20.791616142446262,19.77716045663473,20.348953392739862,20.696710768194176,20.628926451891832,20.415114510092895
2023-01-09,0.837011492290717,-0.11725126426929933,0.8009114646310849,0.11611801588224324,0.24780883098412687,-0.08072234342726148,-0.14461918854910039,0.3639268468663701,-0.22534153197636186,0.01476597703892324,0.8222455152517938,0.01476597703892324,98.23586925927242,0.0010476488299891922,-0.041581816767034374,-0.24423613333894542,0.10017743011058543,-0.553010880876931,0.2005895349887001,-0.010454159823309868,0.04853695389995439,0.19705786934442263,-0.011422348389422873,0.03853211594332844,0.003531665644277482,0.0009643737509728179,0.011029205199842705,0.00319684571195207,-0.010454159823309868,0.04853695389995439,0.0029788781051391213,-0.011422348389422873,0.03853211594332844,0.0029799132104696554,-0.011418533574282685,0.0002169325014824146,0.0009643737509728179,0.011029205199842705,6.823534017158343e-05,0.0026415592442458197,0.0005503496764016833,0.004173585819500933,0.9909551947469808,0.9898252684083626,41,3900.0,3903.2,0.07671232876712329,28.0,21.283496439285738,0.8979939969676458,20.44648494699502,20.32923368272572,21.130145147356806,21.24626316323905,21.494071994223177,21.413349650795915,21.268730462246815
2023-01-10,-1.029872049176305,-0.36178828153672526,-0.7498580566886872,0.47210305530465035,-0.30443189751470356,-0.19893761544513566,0.11221563099384113,0.1676711577899468,-0.08672198445129453,0.0008251157104552931,-1.0306971648867602,0.0008251157104552931,99.91988172597604,-0.005503068717702307,-0.04328256931158853,-0.09174718907362861,-0.20408966996419448,1.071482105084614,0.19295165832609773,-0.012316320161023709,0.03869242251142262,0.2005895349887001,-0.010454159823309868,0.04853695389995439,-0.0076378766626023775,-0.0025003705873621624,-0.009844531388531766,0.002958027208419024,-0.012316320161023709,0.03869242251142262,0.00319684571195207,-0.010454159823309868,0.04853695389995439,0.003130213020058668,-0.009815949573661546,-0.000172185811639644,-0.0025003705873621624,-0.009844531388531766,-0.004020810847409455,-0.02488499919138738,-0.008356643555605505,0.05951040096952062,0.9735283209007708,0.9909551947469808,44,3900.0,3903.8,0.07945205479452055,29.0,20.253624390109433,-1.1289735762902104,21.283496439285738,20.921708157749013,20.171850101060325,20.643953156364976,20.339521258850272,20.140583643405137,20.252799274398978
2023-01-11,0.5643207815730698,-0.6124845736334983,0.4902040430079744,1.2401766340746576,0.0423779404220781,-0.6304864773767882,-0.050578522861918884,1.2825545744967357,-0.6810650002387071,0.08511173794056504,0.4792090436325047,0.08511173794056504,84.91784447432323,0.010081655958926091,-0.040915594372955076,0.04113852991617594,-0.01918832243868582,-0.9073973691337952,0.19911858182272715,-0.01358913018046868,0.029171889534208455,0.19295165832609773,-0.012316320161023709,0.03869242251142262,0.006166923496629423,-0.004357407292673478,-0.030175440036494527,0.0031501317237965167,-0.01358913018046868,0.029171889534208455,0.002958027208419024,-0.012316320161023709,0.03869242251142262,0.0028237551549236063,-0.009231722887795201,0.00032637656887291033,-0.004357407292673478,-0.030175440036494527,-0.0008474943056452303,0.007270065798536462,-0.004775950851956971,0.01605592954063015,0.9800226530050037,0.9735283209007708,43,3925.0,3929.55,0.07945205479452055,29.0,20.817945171682503,0.5810887535108549,20.253624390109433,19.641139816475935,20.13134385948391,21.371520493558567,21.413898433980645,20.783411956603857,20.732833433741938
2023-01-12,-2.5417293020563783,-0.26769180820828,-2.844487520890887,0.4626399286714289,0.32710638438735273,-0.12804715441651382,-0.05771567548492129,0.7897463130587816,-0.1857628299014351,-0.033533456114557936,-2.5081958459418203,-0.033533456114557936,98.68068341945667,-0.02290131574450429,-0.062154713043747194,-0.016579949729780802,0.14562937491358155,0.087522911897611,0.17183740833349376,-0.00999474526118657,0.07111370993530508,0.19911858182272715,-0.01358913018046868,0.029171889534208455,-0.027281173489233396,0.003371171930050581,0.04194182040109654,0.0023460678141928332,-0.00999474526118657,0.07111370993530508,0.0031501317237965167,-0.01358913018046868,0.029171889534208455,0.003098569099684867,-0.01336591719123715,-0.0007525012854920337,0.003371171930050581,0.04194182040109654,0.0031219722727678957,0.04016878007049131,0.011781313906900718,-0.07193619450382618,0.9927240514496126,0.9800226530050037,133,3975.0,3978.45,0.07945205479452055,29.0,18.276215869626125,-2.525753762916981,20.817945171682503,20.550253363474223,17.705765842583336,18.168405771254765,18.495512155642118,18.367465001225604,18.309749325740682
2023-01-13,-0.9035266998102927,-0.3901722519101938,-0.9273685679806931,0.7168029402262768,-0.12827189810893458,-0.23141795802404985,0.06840745080781474,0.5885310421173422,-0.1630105072162351,-0.011506414820512845,-0.8920202849897798,-0.011506414820512845,98.72649974561585,-0.009237402096004555,-0.15269695148138648,-0.33172661012421106,-0.035125209371855384,0.2675554057415696,0.16213449229618596,-0.010808343055640737,0.08064120259586607,0.17183740833349376,-0.00999474526118657,0.07111370993530508,-0.009702916037307802,-0.0013449870996114013,0.009956077442481684,0.0020165825221369195,-0.010808343055640737,0.08064120259586607,0.0023460678141928332,-0.00999474526118657,0.07111370993530508,0.002311314387110666,-0.009463355956029335,-0.0002947318649737466,-0.0013449870996114013,0.009956077442481684,-0.0015435553903155666,0.008177888903041997,-0.0007904717873131531,0.005488237045196465,0.9939531146922042,0.9927240514496126,133,3990.0,3993.7,0.07945205479452055,29.0,17.372689169815832,-0.9320875246424976,18.276215869626125,17.88604361771593,16.958675049735238,17.675477989961514,17.54720609185258,17.31578813382853,17.384195584636345
2023-01-17,1.777265826883415,0.02386137094050156,1.6164524704906746,0.4134858541772388,-0.10777016891987756,-0.27014105854667037,0.03440953648770417,0.30571568525736126,-0.2357315220589662,0.06696782225384368,1.7102980046295713,0.06696782225384368,96.23197491107578,0.01275810834188867,0.06470990307061787,0.08305235468442265,-0.08087070412232172,0.05585536663296806,0.17547120339019295,-0.013592041842055508,0.06331024383896708,0.16213449229618596,-0.010808343055640737,0.08064120259586607,0.013336711094006998,-0.00239266716373745,-0.01749680138357275,0.0024463401461832096,-0.013592041842055508,0.06331024383896708,0.0020165825221369195,-0.010808343055640737,0.08064120259586607,0.002042588244755571,-0.011199374678318058,0.00040375190142763863,-0.00239266716373745,-0.01749680138357275,-0.0023218190032613575,-0.01666187279286107,-0.0042044084117665095,0.021448338083863067,0.9948129490985924,0.9939531146922042,44,4005.0,4008.55,0.07671232876712329,28.0,19.149954996699247,1.8047819714789988,17.372689169815832,17.396550540756333,19.013003011247008,19.426488865424247,19.31871869650437,19.0485776379577,19.082987174445403
2023-01-18,0.678016981650142,1.015443733280172,-0.7466393540434417,-0.07399851783700839,0.4725076711302201,0.07563022169484412,-0.16026641778607242,0.3985091532932117,-0.0846361960912283,0.09533964521142835,0.5826773364387137,0.09533964521142835,85.93845762101815,0.0012179811989903569,0.10429112900777908,0.3182787001514793,0.09139589729652285,-0.03193846580133522,0.18477102823403022,-0.012915929498349056,0.06489853836274974,0.17547120339019295,-0.013592041842055508,0.06331024383896708,0.009299824843837262,0.002711896966225237,-0.00027396451517804066,0.0027125195982607205,-0.012915929498349056,0.06489853836274974,0.0024463401461832096,-0.013592041842055508,0.06331024383896708,0.002672204214703795,-0.015627826464574293,4.031538355692534e-05,0.002711896966225237,-0.00027396451517804066,0.0032572476659401724,0.004925147580263321,0.004508114832279633,-0.022960252295426947,0.9938169007644712,0.9948129490985924,47,3990.0,3998.9,0.07945205479452055,29.0,19.82797197834939,0.7737254191091374,19.149954996699247,20.16539872997942,19.418759375935977,19.34476085809897,19.81726852922919,19.892898750924033,19.73263233313796
2023-01-19,0.35096832784826404,0.6456602167350702,0.2718853897794986,-0.3151682226051662,-0.4048184795952139,0.07903658373028222,0.12861877384621323,-0.7199867022003801,0.20765535757649545,-0.054245934042420174,0.4052142618906842,-0.054245934042420174,84.54392327222399,0.0018692927495298746,0.026965467654996175,0.053460485382705036,-0.2985491141431857,1.9914375186608015,0.18381766663042604,-0.014441760295947077,0.07540855352232856,0.18477102823403022,-0.012915929498349056,0.06489853836274974,-0.0009533616036041803,-0.000615933979590224,0.01051001515957882,0.0026846002805429557,-0.014441760295947077,0.07540855352232856,0.0027125195982607205,-0.012915929498349056,0.06489853836274974,0.0028062514416026195,-0.013825826316356853,-0.00012165116105966383,-0.000615933979590224,0.01051001515957882,-0.007286882625957199,-0.04905549630207201,-0.008919771410534766,0.08732187085335033,0.9774169799329001,0.9938169007644712,208,3930.0,3936.65,0.07945205479452055,29.0,20.178940306197653,0.21533820014264649,19.82797197834939,20.47363219508446,20.745517584863958,20.43034936225879,20.025530882663578,20.10456746639386,20.233186240240073
2023-01-20,-0.805070858586955,-1.2859599830525212,0.31082381562546857,0.47943969365542927,-0.17304155702766977,-0.1751891288185945,0.0330707448442098,0.3063981366277595,-0.1421183839743847,0.005785556186722829,-0.8108564147736779,0.005785556186722829,99.28136062496691,0.004233631200563289,-0.060549889467775564,-0.10654252246087481,-0.1726821052632884,0.7649541916424517,0.17671770206046541,-0.013104203755737115,0.08219662953362153,0.18381766663042604,-0.014441760295947077,0.07540855352232856,-0.007099964569960621,-0.0013628186109951243,0.001132056150750807,0.0023956605320626847,-0.013104203755737115,0.08219662953362153,0.0026846002805429557,-0.014441760295947077,0.07540855352232856,0.0024322707379429453,-0.011741385144741991,-3.661020588026061e-05,-0.0013628186109951243,0.001132056150750807,0.0032928689502141305,0.041492720875698705,0.0018818852949118725,-0.04025526586368475,0.9894398323904956,0.9774169799329001,200,3905.0,3909.15,0.07945205479452055,29.0,19.373869447610698,-0.7780015144214012,20.178940306197653,18.89298032314513,19.2038041387706,19.68324383242603,19.51020227539836,19.335013146579765,19.368083891423975
2023-01-23,-0.21900519506211324,-1.2071611999023375,0.503850275762364,0.6038773957205592,-0.041347171541321615,-0.09134416132846113,0.009049050468856734,0.5625302241792376,-0.08229511085960439,0.004070615758227092,-0.22307581082034034,0.004070615758227092,98.14131543451624,0.007182491451519238,-0.10741922126933619,-0.127741499918815,-0.06366465704105471,0.07807669221396388,0.17836824398216775,-0.012248903955189645,0.08725775796810956,0.17671770206046541,-0.013104203755737115,0.08219662953362153,0.001650541921702331,-0.0012356449835213452,0.0024535904731531333,0.0021791253740604194,-0.012248903955189645,0.08725775796810956,0.0023956605320626847,-0.013104203755737115,0.08219662953362153,0.0022403736521787567,-0.0110132589716683,-6.124827811833725e-05,-0.0012356449835213452,0.0024535904731531333,-1.553879438482772e-05,0.013159198772267192,0.0003909279577769126,-0.017422166335358563,0.9926456007603339,0.9894398323904956,193,3975.0,3978.4,0.07671232876712329,28.0,19.154864252548585,-0.2245725902759652,19.373869447610698,18.16670824770836,18.670558523470724,19.274435919191284,19.233088747649962,19.1417445863215,19.150793636790358
2023-01-24,-0.1900186399898871,-0.002500824379538358,-0.28164385862550745,0.1733485534798902,-0.03769398746828756,-0.05663093024352861,0.011279732438410406,0.13565456601160264,-0.045351197805118204,0.0038226748086742646,-0.19384131479856137,0.0038226748086742646,97.98826325202742,-0.006962605847859328,0.014074923147268747,-0.11999542455252789,-0.11278581487740587,0.9106507644415197,0.1732848057501327,-0.016036372464172662,0.06547609444368889,0.17836824398216775,-0.012248903955189645,0.08725775796810956,-0.0050834382320350535,-0.0037896353941724234,-0.021781663524420625,0.002385756419758837,-0.016036372464172662,0.06547609444368889,0.0021791253740604194,-0.012248903955189645,0.08725775796810956,0.0021789732980646063,-0.012246737070000239,0.00020678312169423053,-0.0037896353941724234,-0.021781663524420625,-0.002341922350364796,-0.011088216081711233,-0.009074156313869704,0.08483101819843386,0.9878605278814305,0.9926456007603339,43,4025.0,4026.85,0.0684931506849315,25.0,18.964845612558697,-0.2038708332702832,19.154864252548585,19.152363428169046,18.87071956954354,19.04406812302343,19.00637413555514,18.949743205311613,18.961022937750023
2023-01-25,-0.2503458633622415,-0.020158761943712022,-0.13699287494642576,-0.33658374930997326,0.11021319405366725,0.17812899777038282,-0.05220383143181806,-0.226370555256306,0.12592516633856476,0.0072511624456375046,-0.257597025807879,0.0072511624456375046,97.10354213636623,-0.0024381391465182647,0.037190883518179736,0.10377234046265382,0.14146356882250824,-1.0828837821472872,0.17099397752130396,-0.01365208644243583,0.07523300302715075,0.1732848057501327,-0.016036372464172662,0.06547609444368889,-0.0022908282288287285,0.0024835076334412624,0.009756908583461718,0.0023230938907072055,-0.01365208644243583,0.07523300302715075,0.002385756419758837,-0.016036372464172662,0.06547609444368889,0.0023979446634183207,-0.016135594075877092,-7.485077271111515e-05,0.0024835076334412624,0.009756908583461718,0.0021143053246722512,0.005896132253772779,0.007628666072423771,-0.08238567208987402,0.9926446211204499,0.9878605278814305,48,4025.0,4026.9,0.07945205479452055,29.0,18.714499749196456,-0.20856632941190512,18.964845612558697,18.944686850614985,18.80769397566856,18.471110226358586,18.581323420412254,18.759452418182637,18.70724858675082
2023-01-26,-0.5550165857569667,-0.6485856945078403,0.004261802982210128,0.21823711119472833,-0.07899894283364972,-0.11231652060789088,0.02328321864167293,0.1392381683610786,-0.08903330196621795,0.039102439373802866,-0.5941190251307695,0.039102439373802866,92.9547259708514,0.0007074122872653315,-0.061548516297641576,-0.1632544654529458,-0.020564694471718464,0.054594105585466894,0.16730456411715172,-0.012448244663344534,0.07794769597938808,0.17099397752130396,-0.01365208644243583,0.07523300302715075,-0.003689413404152242,-0.00040403509931542445,0.0007439702398892578,0.0022239279398862297,-0.012448244663344534,0.07794769597938808,0.0023230938907072055,-0.01365208644243583,0.07523300302715075,0.0021809390627461067,-0.01204420956402911,4.2988877140123e-05,-0.00040403509931542445,0.0007439702398892578,0.0013471022862580496,0.020137292336913602,0.0035034760525376393,-0.05087985167887406,0.9966662550718546,0.9926446211204499,128,4020.0,4023.85,0.07945205479452055,29.0,18.15948316343949,-0.4962339966763878,18.714499749196456,18.065914054688616,18.070175857670826,18.288412968865554,18.209414026031904,18.097097505424014,18.120380724065686
