date,SPX_spot,VIX_computed,VIX_actual,F1_sticky_strike,F2_parallel_shift,F3_put_skew_grad,F4_call_skew_grad,F5_downside_conv,F6_upside_conv,sum_factors,delta_vix,delta_vix_source,diff_computed
2023-01-04,3853.39,22.088689537787356,22.010000228881836,,,,,,,,,,
2023-01-05,3808.19,22.399087612925506,22.459999084472656,0.4879926611696739,0.4133332909768086,-0.06168129115985366,-0.00967624907480058,-0.014204320497558598,-0.006521258579997635,0.809242832834272,0.4499988555908203,actual,0.3592439772434517
2023-01-06,3894.2,20.79782502166606,21.1299991607666,1.1951941174003338,-1.9413910584232106,0.026182137634748415,0.038150003737655425,0.16294610777175933,0.06213105750054382,-0.4567876343781698,-1.3299999237060547,actual,0.8732122893278849
2023-01-09,3892.52,21.660383990867686,21.969999313354492,0.0011760416760644432,0.881129033009632,0.026297697674227294,-0.04250926663831933,0.00889710684516487,-0.005770585770797254,0.869220026795972,0.8400001525878906,actual,0.029219874208081364
2023-01-10,3919.78,20.57682418695714,20.579999923706055,0.12947582151047143,-1.0737327643055927,0.020876054457684035,-0.02284430552762018,0.0935072414999496,0.00012457313303926298,-0.8525933792320686,-1.3899993896484375,actual,0.5374060104163689
2023-01-11,3969.31,21.135321500914973,21.09000015258789,0.41143840967307455,0.40732173643000635,0.035942991468171925,0.0019393857338414477,0.0689874391590628,0.008915855838449005,0.9345458183026061,0.5100002288818359,actual,0.42454558942077014
2023-01-12,3982.87,18.633958522238462,18.829999923706055,0.029854544827127683,-2.876040443127593,0.00010461654865423498,0.043389644477393574,0.15976285924903522,0.0811114477504482,-2.561817330274934,-2.260000228881836,actual,-0.30181710139309814
2023-01-13,3998.71,17.696987066758165,18.350000381469727,0.03039948083042532,-1.3612883713660615,0.07904769682489032,-0.0003443533505276264,0.24848442389055947,0.011915532982317956,-0.9917855901883961,-0.4799995422363281,actual,-0.511786047952068
2023-01-17,3990.4,19.493348693993877,19.360000610351562,0.01618401282044246,1.921188840010121,0.025296990478285153,-0.07097978473524336,-0.043404387889751206,-0.07254374920988482,1.7757419214739691,1.010000228881836,actual,0.7657416925921332
2023-01-18,3928.85,20.237949418902648,20.34000015258789,0.9167513821608857,0.7997664379372971,0.031115298897010035,-0.0060840461825932834,-0.03101625141966835,-0.052632140865394916,1.6579006805275363,0.9799995422363281,actual,0.6779011382912081
2023-01-19,3899.16,20.462138674826768,20.520000457763672,0.1942484133810609,0.2985198494618011,0.010062289966089821,-0.02988476773860782,-0.010246112147338948,-0.034751936906577185,0.4279477360164279,0.18000030517578125,actual,0.24794743084064663
2023-01-20,3971.98,19.68955334097582,19.850000381469727,0.9384499888073989,-0.8878399314209489,-0.02058650334961243,0.03129792659600028,0.10811166478456258,0.03623103833002972,0.20566418374743023,-0.6700000762939453,actual,0.8756642600413755
2023-01-23,4019.36,19.531152128498324,19.809999465942383,0.40396994583773704,-0.5096678592313069,0.03349466247384569,0.02968148379302349,0.16330618088736415,0.06160402864250614,0.18238844240316965,-0.04000091552734375,actual,0.2223893579305134
2023-01-24,4016.84,19.26842861072652,19.200000762939453,0.0012898352042896022,-0.31380723921583,0.031935302953041145,-0.014008367223695473,0.04300733350682506,0.001997496345289562,-0.24958563843008008,-0.6099987030029297,actual,0.3604130645728496
2023-01-25,4016.22,19.09969819322221,19.079999923706055,0.0007593237409260212,-0.12787002445071494,0.008788921676917028,0.026636410490993967,-0.045011226824769324,0.0005432459185712446,-0.136153349448076,-0.12000083923339844,actual,-0.016152510214677562
2023-01-26,4060.18,18.591030385098957,18.729999542236328,0.30894530588017943,-0.3565312024300411,-0.047509824984565796,-0.030918158724944078,-0.030331832972695594,-0.022944721281501046,-0.1792904345135682,-0.35000038146972656,actual,0.17070994695615838
2023-01-27,4070.02,18.08712128214662,18.510000228881836,0.011046905583413036,-0.5906012971857741,-0.010994785105427951,0.02151306510545581,0.052390395990148164,0.02068089890538971,-0.4959648167067954,-0.2199993133544922,actual,-0.2759655033523032
2023-01-30,4018.18,19.731899264497525,19.940000534057617,0.5612615026880299,1.9009514693424627,0.0034126163562326894,-0.043495781347843376,-0.06837409754463408,-0.06976440704399067,2.283991302450257,1.4300003051757812,actual,0.8539909972744759
2023-01-31,4077.16,19.201844574096892,19.399999618530273,0.5524447743032717,-0.8326576358433826,0.06899354241048528,-0.01526403754215977,0.17651781109432108,0.01850783187352789,-0.03145771370393646,-0.5400009155273438,actual,0.5085432018234073
2023-02-01,4119.88,18.15020889740011,17.8700008392334,0.30316063795177683,-1.3205301181568885,0.037634536005313635,0.038508055721020895,0.14346993499057703,0.0538155175651589,-0.7439414359230412,-1.529998779296875,actual,0.7860573433738338
2023-02-02,4180.26,18.101386654561512,18.729999542236328,0.5803220569823111,-0.4528436610756188,-0.022763311853513102,0.053805565234366526,0.17941294582105982,0.0818113671705909,0.41974496227919644,0.8599987030029297,actual,-0.44025374072373324
2023-02-03,4136.27,17.976949677155286,18.329999923706055,0.3957964636710436,0.20271791988054488,-0.0031035908899710307,0.00040585849019336706,-0.16485072421084013,-0.037879339502634224,0.39308658743833647,-0.39999961853027344,actual,0.7930862059686099
2023-02-06,4111.02,18.94856754385451,19.43000030517578,0.159229331738171,1.2600327837608276,-0.021360658220825002,-0.08876581016804863,-0.07587826279560161,-0.07696989115139985,1.1562874931631235,1.1000003814697266,actual,0.05628711169339695
2023-02-07,4163.74,18.1483886858209,18.65999984741211,0.4489904725677363,-0.9830270976460902,0.024999370956649614,0.05601487245111514,0.05239107002375576,0.047088518560190806,-0.3535427930866426,-0.7700004577636719,actual,0.41645766467702927
2023-02-08,4118.33,19.645351943765448,19.6299991607666,0.4721403832233335,1.794694901346368,0.018446900720924475,-0.041833011113457275,-0.08953705126567968,-0.11929924623058952,2.0346128766808995,0.9699993133544922,actual,1.0646135633264073
2023-02-09,4081.89,20.51956444209116,20.709999084472656,0.255738540711814,1.247198965204948,-0.022520498592310645,-0.03774388187582289,-0.15713880872846175,-0.05929879329659471,1.226235523423572,1.0799999237060547,actual,0.14623559971751732
2023-02-10,4090.54,20.031695000254732,20.530000686645508,0.00903906201329363,-0.37218469248988484,-0.04073150323948127,0.002958086959523598,-0.07098434706873746,0.010133783948631958,-0.4617696098766544,-0.17999839782714844,actual,-0.28177121204950595
2023-02-13,4137.71,20.60120427724511,20.34000015258789,0.3764989072959182,0.2751615715508535,0.05557364685708066,0.02370435830047768,0.017658827067592142,0.027396904674798606,0.7759942157467208,-0.1900005340576172,actual,0.965994749804338
2023-02-14,4136.02,18.917296373396358,18.90999984741211,0.0005894454429480334,-1.86211778631219,0.07373126824539966,0.0020380260106342973,0.11070107169637922,0.015051038569431796,-1.660006936347397,-1.4300003051757812,actual,-0.2300066311716158
2023-02-15,4148.11,18.119502057136895,18.229999542236328,-0.013931761323181746,-0.8458770306805903,0.004970242555160098,0.026667284208567565,0.10290854621055345,0.01657979163013934,-0.7086829273993516,-0.6800003051757812,actual,-0.02868262222357032
2023-02-16,4090.92,19.753003329101844,20.170000076293945,0.7072358938776269,1.3895380015832366,0.04692579731081992,-0.05441489328076443,0.1636031228931465,-0.06351093811105102,2.1893769842730144,1.9400005340576172,actual,0.24937645021539723
2023-02-17,4079.42,19.230181404420225,20.020000457763672,0.03905942939499596,-0.29498378337836684,-0.0351790305509887,-0.009836232485366025,-0.14526697374916253,-0.017154556180187797,-0.46336114694907593,-0.14999961853027344,actual,-0.3133615284188025
2023-02-21,3997.57,23.03373564460237,22.8700008392334,1.2710884588659432,4.129863184963181,-0.061267380678433625,-0.059041540767371004,-0.12530676212091407,-0.1180378676480629,5.037298092614343,2.8500003814697266,actual,2.187297711144616
2023-02-22,3991.88,22.404338636804795,22.290000915527344,0.009110873721240864,-0.6110363001627874,0.028308929869726995,0.008458288754990662,-0.055825033151425174,0.0013175168762309397,-0.6196657240920231,-0.5799999237060547,actual,-0.03966580038596845
2023-02-23,4012.14,20.997151225040618,21.139999389648438,0.04084983556491295,-1.469223975645292,0.0023263752974074237,0.045558751849583246,-0.029248442773059935,0.06115466580358486,-1.3485827899028635,-1.1500015258789062,actual,-0.19858126402395726
2023-02-24,3970.42,21.310470301240734,21.670000076293945,0.3587596811975651,0.5486586105419349,-0.08310665106810688,0.03405738702247163,-0.1425600334988424,0.01031992590445796,0.7261289200994803,0.5300006866455078,actual,0.19612823345397246
2023-02-27,3982.38,20.804784613749312,20.950000762939453,0.02489292955545963,-0.41378602772563156,-0.026912394286124908,-0.01748540442336477,-0.005282011508420226,0.013160549064597404,-0.4254123593234844,-0.7199993133544922,actual,0.29458695403100776
2023-02-28,3969.12,20.274546283803502,20.700000762939453,0.04048688475555551,-0.5450650198207647,-0.017804040733949478,0.03794934925256044,-0.026292454223185047,0.014368668884515046,-0.49635661188526825,-0.25,actual,-0.24635661188526825
2023-03-01,3952.01,20.657471701493765,20.579999923706055,0.06937496607535465,0.7047836492285597,-0.033082294985057104,0.0137658485595189,-0.14340100474147377,-0.009982202905849391,0.601458961231053,-0.12000083923339844,actual,0.7214598004644515
2023-03-02,3980.73,19.621915620708744,19.59000015258789,0.15164176344827496,-1.0403471082993292,0.022246358274173872,0.024586503426228035,-0.019375503974870867,0.025958912208832174,-0.835289074916691,-0.9899997711181641,actual,0.15471069620147304
2023-03-03,4046.21,18.388153145574478,18.489999771118164,0.8041935177787884,-1.603014838796394,0.014090824505377242,0.035787877367450704,0.13646314921050973,0.07302650607214645,-0.5394529638621215,-1.1000003814697266,actual,0.5605474176076051
2023-03-06,4048.46,18.639238911655536,18.610000610351562,-0.004191199584465011,-0.05729076538143474,0.06274828879989158,0.12148068637378628,0.12487854813479515,0.04293200901967609,0.29055756736224936,0.12000083923339844,actual,0.17055672812885092
2023-03-07,3986.51,19.589866054416163,19.59000015258789,1.0132679734858208,1.4352567963806209,-0.07111323892912935,-0.10241685850158788,-0.15857442889376472,-0.07385981993211388,2.042560423609846,0.9799995422363281,actual,1.0625608813735177
2023-03-08,3992.41,19.055237434271575,19.110000610351562,-0.0005205963851899753,-0.5665229144372006,0.01694800300431254,-0.0008599004991367565,0.02135616168598986,0.012592837558685233,-0.5170064090725397,-0.4799995422363281,actual,-0.03700686683621157
2023-03-09,3918.94,22.06335780321812,22.610000610351562,1.1961965029101123,2.9513297552616216,-0.025439008860431045,-0.027363251476145933,0.029680710317091297,-0.09066969948236903,4.033735008669879,3.5,actual,0.5337350086698791
2023-03-10,3861.68,24.106047689576375,24.799999237060547,0.6529955569701364,1.1652469502623397,0.13171587922921546,-0.08364589588149585,0.48701233676872135,-0.11192288835275832,2.241401938996159,2.1899986267089844,actual,0.05140331228717443
2023-03-13,3856.04,26.65593600523209,26.520000457763672,0.012753169924700103,3.194537586747,-0.057626710985196894,-0.017992481796603954,-0.28269053873104966,-0.07317915599591629,2.775801869162933,1.720001220703125,actual,1.0558006484598081
2023-03-14,3921.44,23.767259201242823,23.729999542236328,0.6857353016516186,-3.5825846879894634,0.129498540586777,0.05144903751513752,0.34442227195366115,0.027897141593008712,-2.3435823946892604,-2.7900009155273438,actual,0.4464185208380833
2023-03-15,3893.21,26.14667366432509,26.139999389648438,0.14385862523411674,1.744121034038745,0.2772228429030328,-0.05559694693652517,0.49655450167478676,-0.06035488991868121,2.545805166995475,2.4099998474121094,actual,0.1358053195833655
2023-03-16,3960.6,23.034087458281917,22.989999771118164,0.6583188645185238,-3.0926532900853196,-0.06062929524053828,0.04679608306443228,-0.002094197480694504,0.09119055284453026,-2.359071282379066,-3.1499996185302734,actual,0.7909283361512074
2023-03-17,3916.87,25.37152337871532,25.510000228881836,0.3790019757546297,2.8377616804359285,-0.01657887703335348,-0.038466458259183156,-0.12754003770535505,-0.11949914530117312,2.9146791378914934,2.520000457763672,actual,0.3946786801278215
2023-03-20,3951.77,24.089785780189203,24.149999618530273,0.10111918615328719,-1.4610819186973494,0.07486592948041348,0.0395400702009141,-0.019349963051016772,0.038246698271887425,-1.226659997641864,-1.3600006103515625,actual,0.13334061270969855
2023-03-21,4003.76,21.747311362131335,21.3799991607666,0.24155782568363904,-2.053711902519236,-0.15092760638530933,0.05756714045906719,-0.19663740554944553,0.10423390218448958,-1.9979180461267951,-2.770000457763672,actual,0.7720824116368767
2023-03-22,3936.17,21.94455982602784,22.260000228881836,0.9507730653353512,0.6043082088742864,-0.0462522558331635,-0.036548017301633706,-0.06976326279490763,-0.051185627319938476,1.3513321109599943,0.8800010681152344,actual,0.4713310428447599
2023-03-23,3947.86,22.30274154094624,22.610000610351562,0.019899487101440627,0.12530108842163656,0.10271109565625025,-0.06601367315431261,0.172118122077638,-0.0587725273969788,0.295243592705674,0.35000038146972656,actual,-0.054756788764052544
2023-03-24,3971.35,21.588401027413703,21.739999771118164,0.055283863783678555,-0.7905153539329497,0.021629676935443598,0.045804041194436707,-0.002326805814341526,0.007808260373248999,-0.6623163174604834,-0.8700008392333984,actual,0.20768452177291508
2023-03-27,3978.63,20.515100809661572,20.600000381469727,-0.0030496874855607814,-0.8575159706255633,-0.059016696657678835,0.046283075952054276,-0.13718662584209085,0.05009215861712235,-0.9603937460417171,-1.1399993896484375,actual,0.17960564360672038
2023-03-28,3971.48,19.863631661060747,19.969999313354492,0.013173385762680567,-0.43198261589363085,-0.07226186854825656,0.02199365828236921,-0.13830326464455212,0.01042314836964664,-0.5969575566717431,-0.6300010681152344,actual,0.03304351144349127
2023-03-29,4028.28,19.171067183569953,19.1200008392334,0.5954563614747954,-0.8570573253269487,0.05051192151181638,0.026129737194331426,0.1017754413715366,0.03994380241784512,-0.04324006135662373,-0.8499984741210938,actual,0.80675841276447
2023-03-30,4050.95,18.808219565448685,19.020000457763672,0.08169266211224979,-0.7728518916457539,0.046283225241463555,0.0081959468010524,0.2221797824510645,0.022630450733831964,-0.39186982430609163,-0.10000038146972656,actual,-0.29186944283636507
2023-03-31,4109.88,18.15570025142011,18.700000762939453,0.4986348204481885,-0.6411436462241795,-0.04225840504444278,0.038685516049572044,-0.011139953429314176,0.03399371735946133,-0.12322795084071458,-0.31999969482421875,actual,0.19677174398350417
2023-04-03,4123.95,18.2331106920903,18.549999237060547,0.011811788887268193,0.11827816421417126,0.006675715247521197,0.020085118767411814,0.04747561594338734,0.027384323898157703,0.2317107269579175,-0.15000152587890625,actual,0.38171225283682375
